"","Veh_Mock_R1","Veh_Mock_R2","Veh_Mock_R3","Amp_Mock_R1","Amp_Mock_R2","Amp_Mock_R3","Amp_Tri_R1","Amp_Tri_R2","Amp_Tri_R3"
"18438",2298,2874,2370,3051,2685,3034,1962,2453,1762
"18439",40,50,50,46,62,84,81,121,51
"18440",15,15,12,23,17,22,16,19,12
"18441",1859,2312,2359,2964,2873,3664,2260,2694,2180
"18442",974,1173,1113,1025,943,1207,632,759,519
"18451",308,331,436,670,590,1068,600,678,532
"18452",143,155,170,242,186,275,245,288,248
"18453",30959,33561,36083,30252,27623,36772,32649,41832,33871
"18457",1213,1418,1499,1484,1290,1888,1363,1785,1317
"18458",33138,41192,39774,43010,40754,51667,41060,56187,37517
"18459",0,0,0,1,0,1,0,1,0
"18472",5890,7316,7795,6073,5605,7938,6473,8120,6267
"18475",2088,2585,2496,2215,1955,2675,2489,3537,2468
"18476",3653,3299,3407,4283,3951,4594,2623,3393,2371
"18477",17776,19643,20431,16640,15899,22058,21446,29748,24751
"18478",0,0,0,0,0,0,0,0,0
"18479",3018,3631,3591,3969,3562,4611,3486,4553,3694
"18481",0,2,1,3,0,2,1,1,0
"18483",55,78,76,81,75,103,138,287,215
"18484",922,1117,1153,1028,1050,1256,938,1282,949
"18488",144,141,182,169,197,273,123,149,125
"18489",76,2983,578,0,5,1,0,1,0
"18491",14,5,7,3,5,10,12,11,5
"18503",0,0,1,4,1,1,0,2,0
"18504",0,0,0,0,0,0,0,0,0
"18505",5,5,6,11,7,12,8,6,8
"18506",10,16,14,24,14,25,28,25,17
"18507",0,0,1,0,0,1,0,0,4
"18508",26,22,18,19,20,20,14,26,12
"18509",0,1,0,1,0,0,0,0,1
"18510",108,113,83,121,135,126,196,276,136
"18511",4,8,8,9,4,9,7,6,8
"18514",2082,2527,2275,2530,2238,2837,2128,2705,1827
"18515",1424,1606,1533,1677,1543,1852,1430,2208,1472
"18516",161,170,152,197,154,186,153,250,127
"18518",2780,2860,3168,3376,3111,4050,2859,3825,2871
"18519",1157,1412,1379,1439,1232,1690,1164,1297,1017
"18521",12524,14346,11960,15334,13543,14541,11954,16678,8849
"18526",0,2,1,3,0,1,0,0,0
"18530",0,1,0,1,2,1,1,0,0
"18534",4845,5592,5860,2695,3148,3877,5001,4631,3496
"18536",1888,2620,2472,2517,2438,3490,2879,3466,2514
"18537",1341,1488,1560,1480,1426,1881,1403,1780,1341
"18538",6742,7647,7273,7519,6331,8915,7475,9539,6701
"18541",1287,1549,1630,1681,1510,2109,1385,1691,1137
"18542",23,28,22,23,26,23,29,22,17
"18545",3,7,10,4,5,2,2,5,4
"18546",0,0,0,3,0,0,0,0,0
"18548",224,292,244,236,248,306,296,332,221
"18549",48,51,52,37,47,52,36,58,22
"18550",2814,3220,3091,2640,2632,2962,2210,2757,1832
"18551",328,246,290,253,236,282,295,375,286
"18552",1473,2386,2008,2115,2129,2951,1820,2056,1805
"18553",4,2,2,4,3,3,2,2,4
"18554",4297,4736,5017,4916,4716,6032,3968,4616,3644
"18555",5574,6495,5938,5975,5357,6662,5532,7081,4970
"18557",1410,1688,1816,1371,1232,1441,1404,1769,1312
"18559",801,936,974,1019,942,1154,888,1018,798
"18563",3981,3865,4169,3779,3362,4511,2755,3661,2872
"18566",4,6,11,4,6,3,6,12,5
"18567",923,984,1122,1023,1087,1342,1006,1143,1001
"18569",3513,4342,4535,3472,3544,4472,3704,5195,4018
